Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","TantalC_SizeB_EIA-3528_Reflow",143.6220,-101.7920,0.0000,bottom
"C2","100nF","C_0805",144.1300,-96.4580,-90.0000,bottom
"C3","100nF","C_0805",150.7340,-83.5040,90.0000,bottom
"C4","10uF","TantalC_SizeB_EIA-3528_Reflow",146.7970,-83.5040,180.0000,bottom
"C5","10uF","TantalC_SizeB_EIA-3528_Reflow",129.1440,-101.0300,180.0000,bottom
"C6","100nF","C_0805",132.1920,-87.8220,180.0000,bottom
"C7","100nF","C_0805",141.6685,-82.9310,180.0000,bottom
"D1","M4","SMA_Standard",147.4320,-108.3960,-90.0000,bottom
"D2","M4","SMA_Standard",132.7000,-108.3960,-90.0000,bottom
"L1","BLM21PG300SN1D","C_0805",140.1445,-113.1570,0.0000,bottom
"L2","BLM21PG300SN1D","C_0805",132.9540,-102.8080,-90.0000,bottom
"R1","10k","R_0805",129.3980,-85.6020,-90.0000,bottom
"R2","10k","R_0805",121.7780,-90.3620,90.0000,bottom
"R3","10k","R_0805",152.2580,-93.6640,90.0000,bottom
"U1","MIC4426","SOIC-8_3.9x4.9mm_Pitch1.27mm",148.8290,-88.3300,0.0000,bottom
"U2","AD7730","TSSOP-24_4.4x7.8mm_Pitch0.65mm",138.7350,-91.3065,0.0000,bottom
