Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","TantalC_SizeB_EIA-3528_Reflow",143.6220,-101.7920,0.0000,bottom
"C2","100nF","C_0805",144.1300,-96.4580,-90.0000,bottom
"C3","100nF","C_0805",150.7340,-83.5040,90.0000,bottom
"C4","10uF","TantalC_SizeB_EIA-3528_Reflow",146.7970,-83.5040,180.0000,bottom
"C5","10uF","TantalC_SizeB_EIA-3528_Reflow",129.1440,-101.0300,180.0000,bottom
"C6","100nF","C_0805",132.1920,-87.8220,180.0000,bottom
"C7","100nF","C_0805",141.6685,-82.9310,180.0000,bottom
"D1","M4","SMA_Standard",147.4320,-108.3960,-90.0000,bottom
"D2","M4","SMA_Standard",132.7000,-108.3960,-90.0000,bottom
"J1","3÷5V","Straight_2x03",142.6060,-108.1420,180.0000,top
"J2","ACX","Straight_1x02",156.0680,-88.8380,90.0000,top
"J3","~{ACX}","Straight_1x02",156.0680,-86.2980,90.0000,top
"J4","AIN1+","Straight_1x02",131.4935,-78.9320,0.0000,top
"J5","AIN1-","Straight_1x02",134.0335,-78.9320,0.0000,top
"J6","AIN2+","Straight_1x02",136.5735,-78.9320,0.0000,top
"J7","AIN2-","Straight_1x02",139.1135,-78.9320,180.0000,top
"J8","REFIN-","Straight_1x02",146.7485,-78.9305,180.0000,top
"J9","REFIN+","Straight_1x02",141.6535,-78.9320,180.0000,top
"J10","POL","Straight_1x03",139.0500,-98.2360,-90.0000,top
"J11","~{RESET}","Straight_1x02",125.5880,-86.5520,90.0000,top
"J12","~{SYNC}","Straight_1x02",125.5880,-89.0920,90.0000,top
"J13","~{RDY}","Straight_1x02",156.0680,-96.4580,90.0000,top
"J14","~{CS}","Straight_1x02",156.0680,-93.9180,90.0000,top
"J15","SCLK","Straight_1x02",125.5880,-96.7120,90.0000,top
"J16","DIN","Straight_1x02",156.0680,-101.5380,90.0000,top
"J17","DOUT","Straight_1x02",156.0680,-98.9980,90.0000,top
"J18","~{STANDBY}","Straight_1x02",156.0680,-91.3780,90.0000,top
"J19","+5V","Straight_2x03",137.5260,-108.1420,0.0000,top
"J20","MCLKIN","Straight_1x02",125.5880,-94.1720,90.0000,top
"J21","MCLKOUT","Straight_1x02",125.5880,-91.6320,90.0000,top
"J22","VAA","Straight_1x02",144.2085,-78.9305,0.0000,top
"J23","GND","Straight_1x02",149.2885,-78.9305,0.0000,top
"L1","BLM21PG300SN1D","C_0805",140.1445,-113.1570,0.0000,bottom
"L2","BLM21PG300SN1D","C_0805",132.9540,-102.8080,-90.0000,bottom
"M1","HOLE","MountingHole_3mm",155.5600,-79.4400,0.0000,top
"M2","HOLE","MountingHole_3mm",155.5600,-109.9200,0.0000,top
"M3","HOLE","MountingHole_3mm",125.0800,-79.4400,0.0000,top
"M4","HOLE","MountingHole_3mm",125.0800,-109.9200,0.0000,top
"R1","10k","R_0805",129.3980,-85.6020,-90.0000,bottom
"R2","10k","R_0805",121.7780,-90.3620,90.0000,bottom
"R3","10k","R_0805",152.2580,-93.6640,90.0000,bottom
"U1","MIC4426","SOIC-8_3.9x4.9mm_Pitch1.27mm",148.8290,-88.3300,0.0000,bottom
"U2","AD7730","TSSOP-24_4.4x7.8mm_Pitch0.65mm",138.7350,-91.3065,0.0000,bottom
"Y1","4.9152 MHz","Crystal_HC49-U_Vertical",131.3030,-95.1880,-90.0000,top
