"Source:","G:\MLAB_G\Moduly_zvlast\BRIDGEADC01\hw\sch_pcb\BRIDGEADC01A.kicad_sch"
"Date:","16.06.2021 15:29:58"
"Tool:","Eeschema (5.99.0-10394-g2e15de97e0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"","","C1","10uF","BRIDGEADC01A-rescue:CP_Small","Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow","","5c70984412875079b91f8865"
"","","C2","100nF","BRIDGEADC01A-rescue:C_Small","Capacitors_SMD:C_0805","","5c70984712875079b91f8b4c"
"","","C3","100nF","BRIDGEADC01A-rescue:C","Capacitors_SMD:C_0805","","5c70984712875079b91f8b4c"
"","","C4","10uF","BRIDGEADC01A-rescue:CP1","Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow","","5c70984412875079b91f8865"
"","","C5","10uF","BRIDGEADC01A-rescue:CP_Small","Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow","","5c70984412875079b91f8865"
"","","C6","100nF","BRIDGEADC01A-rescue:C_Small","Capacitors_SMD:C_0805","","5c70984712875079b91f8b4c"
"","","C7","100nF","BRIDGEADC01A-rescue:C","Capacitors_SMD:C_0805","","5c70984712875079b91f8b4c"
"","","D1","M4","BRIDGEADC01A-rescue:D_Small","Diodes_SMD:SMA_Standard","","5c70984512875079b91f88ac"
"","","D2","M4","BRIDGEADC01A-rescue:D_Small","Diodes_SMD:SMA_Standard","","5c70984512875079b91f88ac"
"","","J1","3÷5V","BRIDGEADC01A-rescue:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"","","J2","ACX","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J3","~ACX","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J4","AIN1+","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J5","AIN1-","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J6","AIN2+","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J7","AIN2-","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J8","REFIN-","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J9","REFIN+","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J10","POL","BRIDGEADC01A-rescue:HEADER_1x03","Mlab_Pin_Headers:Straight_1x03","",""
"","","J11","~RESET","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J12","~SYNC","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J13","~RDY","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J14","~CS","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J15","SCLK","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J16","DIN","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J17","DOUT","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J18","~STANDBY","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J19","+5V","BRIDGEADC01A-rescue:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"","","J20","MCLKIN","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J21","MCLKOUT","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J22","VAA","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","J23","GND","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"","","L1","BLM21PG300SN1D","BRIDGEADC01A-rescue:INDUCTOR","Capacitors_SMD:C_0805","","5c70984412875079b91f87fd"
"","","L2","BLM21PG300SN1D","BRIDGEADC01A-rescue:INDUCTOR","Capacitors_SMD:C_0805","","5c70984412875079b91f87fd"
"","","M1","HOLE","BRIDGEADC01A-rescue:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","M2","HOLE","BRIDGEADC01A-rescue:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","M3","HOLE","BRIDGEADC01A-rescue:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","M4","HOLE","BRIDGEADC01A-rescue:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"","","R1","10k","BRIDGEADC01A-rescue:R","Resistors_SMD:R_0805","","5c70984612875079b91f899f"
"","","R2","10k","BRIDGEADC01A-rescue:R","Resistors_SMD:R_0805","","5c70984612875079b91f899f"
"","","R3","10k","BRIDGEADC01A-rescue:R","Resistors_SMD:R_0805","","5c70984612875079b91f899f"
"","","U1","MIC4426","BRIDGEADC01A-rescue:MIC4426","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","5c70984612875079b91f8a06"
"","","U2","AD7730","BRIDGEADC01A-rescue:AD7730","Housings_SSOP:TSSOP-24_4.4x7.8mm_Pitch0.65mm","","5c70984612875079b91f8a14"
"","","Y1","4.9152 MHz","BRIDGEADC01A-rescue:Crystal_Small","Crystals:Crystal_HC49-U_Vertical","","5c70984712875079b91f8b0d"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"1","2","C1, C5","10uF","BRIDGEADC01A-rescue:CP_Small","Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow","","5c70984412875079b91f8865"
"2","2","C2, C6","100nF","BRIDGEADC01A-rescue:C_Small","Capacitors_SMD:C_0805","","5c70984712875079b91f8b4c"
"3","2","C3, C7","100nF","BRIDGEADC01A-rescue:C","Capacitors_SMD:C_0805","","5c70984712875079b91f8b4c"
"4","1","C4","10uF","BRIDGEADC01A-rescue:CP1","Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow","","5c70984412875079b91f8865"
"5","2","D1, D2","M4","BRIDGEADC01A-rescue:D_Small","Diodes_SMD:SMA_Standard","","5c70984512875079b91f88ac"
"6","1","J1","3÷5V","BRIDGEADC01A-rescue:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"7","1","J2","ACX","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"8","1","J3","~ACX","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"9","1","J4","AIN1+","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"10","1","J5","AIN1-","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"11","1","J6","AIN2+","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"12","1","J7","AIN2-","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"13","1","J8","REFIN-","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"14","1","J9","REFIN+","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"15","1","J10","POL","BRIDGEADC01A-rescue:HEADER_1x03","Mlab_Pin_Headers:Straight_1x03","",""
"16","1","J11","~RESET","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"17","1","J12","~SYNC","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"18","1","J13","~RDY","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"19","1","J14","~CS","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"20","1","J15","SCLK","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"21","1","J16","DIN","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"22","1","J17","DOUT","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"23","1","J18","~STANDBY","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"24","1","J19","+5V","BRIDGEADC01A-rescue:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"25","1","J20","MCLKIN","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"26","1","J21","MCLKOUT","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"27","1","J22","VAA","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"28","1","J23","GND","BRIDGEADC01A-rescue:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_1x02","",""
"29","2","L1, L2","BLM21PG300SN1D","BRIDGEADC01A-rescue:INDUCTOR","Capacitors_SMD:C_0805","","5c70984412875079b91f87fd"
"30","4","M1, M2, M3, M4","HOLE","BRIDGEADC01A-rescue:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"31","3","R1, R2, R3","10k","BRIDGEADC01A-rescue:R","Resistors_SMD:R_0805","","5c70984612875079b91f899f"
"32","1","U1","MIC4426","BRIDGEADC01A-rescue:MIC4426","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","5c70984612875079b91f8a06"
